Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-12-25,33-189,DAL,,MIA,L (-11),1,29:13,6,15,.400,0,0,,9,10,.900,1,4,5,3,0,0,2,4,21,12.9,-28
2,2,2011-12-26,33-190,DAL,,DEN,L (-22),1,26:12,7,14,.500,0,2,.000,6,6,1.000,0,4,4,0,0,0,1,2,20,12.4,-21
3,3,2011-12-29,33-193,DAL,@,OKC,L (-2),1,38:48,9,17,.529,1,4,.250,10,10,1.000,2,8,10,4,0,0,4,5,29,21.3,+19
4,4,2011-12-30,33-194,DAL,,TOR,W (+13),1,31:08,7,16,.438,0,1,.000,4,5,.800,0,4,4,4,4,1,2,0,18,15.9,+5
5,5,2012-01-01,33-196,DAL,@,MIN,L (-17),1,32:29,9,20,.450,2,3,.667,1,1,1.000,0,4,4,0,1,0,0,2,21,12.0,-12
6,6,2012-01-02,33-197,DAL,,OKC,W (+13),1,36:01,10,16,.625,1,5,.200,5,6,.833,1,5,6,3,2,0,2,2,26,21.9,+24
7,7,2012-01-04,33-199,DAL,,PHO,W (+9),1,34:32,7,17,.412,0,0,,6,7,.857,1,5,6,7,0,0,3,2,20,13.8,+8
8,8,2012-01-05,33-200,DAL,@,SAS,L (-22),1,23:36,3,11,.273,0,3,.000,0,1,.000,1,5,6,0,1,1,2,0,6,1.0,-18
9,9,2012-01-07,33-202,DAL,,NOH,W (+15),1,30:09,2,11,.182,0,2,.000,6,6,1.000,0,2,2,4,2,0,0,2,10,7.7,+14
10,10,2012-01-10,33-205,DAL,@,DET,W (+14),1,27:54,9,10,.900,0,0,,0,1,.000,0,7,7,1,0,1,2,3,18,14.5,+42
11,11,2012-01-11,33-206,DAL,@,BOS,W (+5),1,38:21,5,11,.455,0,1,.000,6,6,1.000,2,5,7,4,1,1,3,2,16,13.9,+4
12,12,2012-01-13,33-208,DAL,,MIL,W (+26),1,22:13,4,7,.571,1,2,.500,2,2,1.000,0,5,5,2,0,0,0,0,11,10.6,+14
13,13,2012-01-14,33-209,DAL,,SAC,W (+39),1,20:25,6,14,.429,0,2,.000,2,2,1.000,0,2,2,1,1,2,0,4,14,8.7,+4
14,14,2012-01-16,33-211,DAL,@,LAL,L (-3),1,32:35,8,17,.471,0,1,.000,5,6,.833,1,6,7,1,0,0,3,1,21,11.7,0
15,15,2012-01-18,33-213,DAL,@,LAC,L (-2),1,33:21,6,18,.333,3,6,.500,2,2,1.000,0,7,7,1,1,3,2,4,17,9.1,-5
16,16,2012-01-19,33-214,DAL,@,UTA,W (+3),1,37:28,5,12,.417,0,2,.000,2,2,1.000,1,4,5,1,0,0,1,1,12,6.8,+11
17,17,2012-01-29,33-224,DAL,,SAS,W (+1),1,37:54,5,14,.357,0,3,.000,0,0,,1,12,13,1,1,0,0,3,10,7.0,+6
18,18,2012-01-30,33-225,DAL,@,PHO,W (+23),1,28:28,4,10,.400,0,3,.000,2,2,1.000,1,3,4,4,0,0,0,0,10,9.0,+9
19,19,2012-02-01,33-227,DAL,,OKC,L (-9),1,37:40,2,15,.133,0,5,.000,4,4,1.000,0,8,8,2,2,0,0,4,8,2.5,-10
20,20,2012-02-03,33-229,DAL,,IND,L (-11),1,33:23,12,17,.706,1,4,.250,5,6,.833,0,7,7,2,0,0,4,3,30,20.8,-6
21,21,2012-02-04,33-230,DAL,@,CLE,L (-3),1,35:13,9,15,.600,2,2,1.000,4,5,.800,1,7,8,3,0,2,5,1,24,17.6,-2
22,22,2012-02-08,33-234,DAL,@,DEN,W (+10),1,34:56,11,20,.550,1,6,.167,2,2,1.000,0,9,9,3,1,1,1,2,25,20.1,+12
23,23,2012-02-10,33-236,DAL,@,MIN,W (+7),1,35:04,11,19,.579,4,7,.571,7,10,.700,1,3,4,3,1,3,1,3,33,27.5,+22
24,24,2012-02-11,33-237,DAL,,POR,W (+3),1,44:30,7,20,.350,0,3,.000,6,6,1.000,1,8,9,1,0,0,2,1,20,10.2,-5
25,25,2012-02-13,33-239,DAL,,LAC,W (+4),1,31:53,5,15,.333,1,3,.333,11,15,.733,0,7,7,2,2,0,1,3,22,15.2,-1
26,26,2012-02-15,33-241,DAL,,DEN,W (+18),1,24:57,5,12,.417,0,2,.000,2,2,1.000,0,3,3,4,1,1,2,3,12,7.8,+16
27,27,2012-02-17,33-243,DAL,@,PHI,W (+7),1,37:18,10,22,.455,2,4,.500,6,6,1.000,0,12,12,2,0,0,0,0,28,21.6,+18
28,28,2012-02-19,33-245,DAL,@,NYK,L (-7),1,38:03,11,20,.550,4,5,.800,8,9,.889,1,4,5,3,2,0,4,2,34,25.2,+10
29,29,2012-02-20,33-246,DAL,,BOS,W (+16),1,30:06,10,24,.417,1,3,.333,5,5,1.000,2,14,16,1,1,2,1,1,26,20.5,+27
30,30,2012-02-22,33-248,DAL,,LAL,L (-5),1,35:52,9,22,.409,1,6,.167,6,8,.750,2,10,12,2,1,0,0,3,25,18.0,-12
31,31,2012-02-28,33-254,DAL,,NJN,L (-1),1,36:11,7,19,.368,3,4,.750,7,11,.636,4,6,10,1,3,0,1,0,24,19.2,+6
32,32,2012-02-29,33-255,DAL,@,MEM,L (-11),1,9:39,0,1,.000,0,0,,1,2,.500,1,3,4,1,0,0,2,0,1,0.2,+1
33,33,2012-03-02,33-257,DAL,@,NOH,L (-5),1,35:29,7,19,.368,5,8,.625,0,0,,3,6,9,2,1,0,6,2,19,8.0,-5
34,34,2012-03-03,33-258,DAL,,UTA,W (+6),1,28:50,14,21,.667,3,8,.375,9,10,.900,1,5,6,0,1,0,4,2,40,28.9,+8
35,35,2012-03-05,33-260,DAL,@,OKC,L (-4),1,37:52,10,22,.455,4,6,.667,3,3,1.000,0,5,5,0,0,0,3,3,27,12.9,-7
36,36,2012-03-06,33-261,DAL,,NYK,W (+10),1,34:04,8,18,.444,0,1,.000,12,12,1.000,0,3,3,1,1,0,2,1,28,18.8,+16
37,37,2012-03-08,33-263,DAL,@,PHO,L (-2),1,35:31,8,15,.533,0,2,.000,2,2,1.000,1,6,7,2,1,0,1,3,18,13.4,-5
38,38,2012-03-09,33-264,DAL,@,SAC,L (-13),1,28:56,5,13,.385,0,0,,3,3,1.000,1,8,9,1,1,1,3,1,13,8.0,-21
39,39,2012-03-10,33-265,DAL,@,GSW,L (-24),1,30:10,7,16,.438,1,1,1.000,7,8,.875,1,3,4,0,1,0,2,0,22,13.8,-4
