
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1999-11-02,21-136,DAL,,GSW,W (+12),1,22:00,2,5,.400,0,0,,5,7,.714,2,5,7,3,1,0,0,4,9,9.9
2,2,1999-11-04,21-138,DAL,@,SEA,L (-10),1,30:00,7,14,.500,0,0,,1,1,1.000,1,3,4,1,1,2,4,3,15,7.5
3,3,1999-11-06,21-140,DAL,@,GSW,W (+23),1,33:00,8,13,.615,2,2,1.000,2,4,.500,0,5,5,2,0,1,1,6,20,13.5
4,4,1999-11-07,21-141,DAL,@,LAL,L (-8),1,31:00,6,10,.600,2,4,.500,6,6,1.000,1,8,9,0,0,1,2,5,20,15.2
5,5,1999-11-09,21-143,DAL,,LAL,L (-22),1,23:00,2,10,.200,0,0,,2,2,1.000,3,3,6,2,2,1,1,2,6,5.1
6,6,1999-11-11,21-145,DAL,@,MIA,L (-23),1,40:00,7,15,.467,0,0,,9,11,.818,3,6,9,5,0,0,1,3,23,19.7
7,7,1999-11-13,21-147,DAL,,ORL,W (+8),1,25:00,4,6,.667,0,0,,5,6,.833,0,3,3,3,0,0,1,4,13,10.4
8,8,1999-11-16,21-150,DAL,,HOU,W (+19),1,27:00,3,7,.429,0,0,,10,12,.833,0,3,3,2,1,0,2,5,16,10.8
9,9,1999-11-17,21-151,DAL,@,CHH,L (-5),1,45:00,6,14,.429,0,1,.000,4,4,1.000,2,4,6,1,1,1,3,4,16,9.0
10,10,1999-11-19,21-153,DAL,,SAC,L (-9),1,37:00,7,18,.389,0,2,.000,3,4,.750,2,6,8,2,1,0,2,2,17,9.6
11,11,1999-11-20,21-154,DAL,@,SAS,L (-16),1,34:00,7,17,.412,0,0,,2,3,.667,4,8,12,2,1,1,0,2,16,14.0
12,12,1999-11-23,21-157,DAL,@,HOU,L (-20),1,43:00,12,19,.632,2,5,.400,5,6,.833,2,3,5,2,2,0,3,2,31,24.0
13,13,1999-11-24,21-158,DAL,@,ORL,L (-12),1,43:00,8,13,.615,1,1,1.000,3,3,1.000,1,8,9,1,0,1,2,5,20,14.6
14,14,1999-11-27,21-161,DAL,,CHI,W (+12),1,34:00,6,11,.545,0,2,.000,5,5,1.000,0,6,6,3,4,0,0,1,17,19.2
15,15,1999-11-29,21-163,DAL,@,NYK,L (-25),1,35:00,4,9,.444,2,4,.500,0,0,,0,5,5,6,0,0,1,0,10,10.0
16,16,1999-11-30,21-164,DAL,@,CLE,L (-7),1,42:00,6,17,.353,2,6,.333,6,6,1.000,3,5,8,5,0,1,5,4,20,11.7
17,17,1999-12-02,21-166,DAL,@,CHI,W (+6),1,31:00,6,10,.600,1,2,.500,5,6,.833,1,4,5,3,2,0,3,5,18,14.0
18,18,1999-12-04,21-168,DAL,@,MIN,W (+19),1,43:00,6,13,.462,1,3,.333,6,6,1.000,0,8,8,3,0,0,1,4,19,14.2
19,19,1999-12-05,21-169,DAL,@,MIL,L (-6),1,38:00,2,9,.222,1,5,.200,8,11,.727,1,9,10,6,2,0,5,4,13,9.3
20,20,1999-12-07,21-171,DAL,,VAN,L (-9),1,40:00,12,24,.500,2,6,.333,5,7,.714,1,6,7,2,1,0,2,6,31,18.7
21,21,1999-12-08,21-172,DAL,@,UTA,L (-6),1,41:00,5,14,.357,3,8,.375,2,2,1.000,3,6,9,3,4,2,3,4,15,14.0
22,22,1999-12-11,21-175,DAL,,PHO,W (+5),1,39:00,8,11,.727,1,1,1.000,2,3,.667,1,4,5,4,0,2,3,5,19,15.2
23,23,1999-12-14,21-178,DAL,,SAS,L (-18),0,29:00,3,9,.333,0,1,.000,2,2,1.000,0,2,2,2,1,0,1,4,8,3.3
24,24,1999-12-16,21-180,DAL,,NYK,L (-7),1,43:00,8,19,.421,2,6,.333,6,7,.857,0,7,7,3,1,1,1,5,24,16.4
25,25,1999-12-18,21-182,DAL,,MIN,L (-4),1,39:00,5,10,.500,0,0,,2,2,1.000,0,6,6,0,0,0,1,6,12,5.4
26,26,1999-12-20,21-184,DAL,,MIA,L (-3),1,38:00,5,15,.333,2,3,.667,0,1,.000,1,5,6,2,1,1,2,4,12,4.8
27,27,1999-12-23,21-187,DAL,@,PHO,W (+1),1,43:00,10,17,.588,2,4,.500,2,4,.500,4,5,9,3,0,1,3,3,24,18.2
28,28,1999-12-26,21-190,DAL,@,SAC,L (-7),1,35:00,6,15,.400,0,1,.000,6,7,.857,2,4,6,4,0,1,4,3,18,10.4
29,29,1999-12-27,21-191,DAL,@,LAL,L (-2),1,38:00,10,16,.625,5,7,.714,5,5,1.000,3,3,6,1,1,1,0,5,30,26.2
30,30,1999-12-30,21-194,DAL,,TOR,L (-5),1,48:00,12,17,.706,4,4,1.000,4,4,1.000,1,5,6,6,2,3,3,4,32,30.8
31,31,2000-01-04,21-199,DAL,@,DEN,L (-2),1,34:00,6,12,.500,0,1,.000,2,2,1.000,0,6,6,1,0,0,0,4,14,8.9
32,32,2000-01-06,21-201,DAL,,UTA,L (-13),1,43:00,11,22,.500,2,7,.286,0,2,.000,3,4,7,3,1,1,0,5,24,17.3
33,33,2000-01-08,21-203,DAL,,ATL,W (+10),1,39:00,5,14,.357,1,3,.333,7,8,.875,0,6,6,2,0,1,1,2,18,11.9
34,34,2000-01-10,21-205,DAL,@,POR,L (-13),1,36:00,6,13,.462,1,3,.333,6,8,.750,0,3,3,1,2,0,0,1,19,14.7
35,35,2000-01-11,21-206,DAL,@,GSW,W (+7),1,40:00,4,11,.364,0,4,.000,9,10,.900,0,4,4,1,2,2,5,3,17,9.6
36,36,2000-01-15,21-210,DAL,,POR,W (+8),1,36:00,5,16,.313,1,5,.200,0,1,.000,1,2,3,0,0,3,3,6,11,-0.6
37,37,2000-01-17,21-212,DAL,,HOU,L (-10),1,32:00,3,13,.231,0,3,.000,4,4,1.000,0,7,7,0,0,2,1,3,10,3.4
38,38,2000-01-19,21-214,DAL,@,WAS,W (+18),1,39:00,7,14,.500,5,8,.625,3,3,1.000,0,9,9,2,2,1,1,0,22,20.8
39,39,2000-01-22,21-217,DAL,@,NJN,L (-3),1,36:00,4,11,.364,3,5,.600,0,0,,0,10,10,3,0,1,2,3,11,7.5
40,40,2000-01-23,21-218,DAL,@,DET,W (+8),1,33:00,5,14,.357,1,4,.250,3,4,.750,0,4,4,5,0,0,4,5,14,4.5
41,41,2000-01-25,21-220,DAL,,GSW,W (+14),1,42:00,10,20,.500,0,4,.000,3,3,1.000,1,6,7,3,0,0,2,2,23,14.8
42,42,2000-01-27,21-222,DAL,,LAC,W (+9),1,40:00,8,13,.615,1,2,.500,7,9,.778,1,3,4,1,1,0,1,3,24,18.4
43,43,2000-01-29,21-224,DAL,,DEN,W (+11),1,31:00,4,11,.364,0,1,.000,2,2,1.000,2,2,4,1,0,0,3,3,10,2.4
44,44,2000-02-01,21-227,DAL,,PHI,L (-1),1,38:00,6,17,.353,0,0,,4,6,.667,1,6,7,4,0,4,1,2,16,12.0
45,45,2000-02-03,21-229,DAL,,CHH,W (+10),1,23:00,5,10,.500,0,1,.000,4,4,1.000,0,4,4,1,0,1,1,4,14,9.0
46,46,2000-02-05,21-231,DAL,@,LAC,W (+13),1,31:00,6,14,.429,2,4,.500,6,6,1.000,1,4,5,2,0,1,3,3,20,12.4
47,47,2000-02-06,21-232,DAL,@,VAN,W (+4),1,38:00,5,13,.385,3,4,.750,1,2,.500,2,4,6,2,0,3,1,2,14,10.8
48,48,2000-02-09,21-235,DAL,,SEA,L (-11),1,37:00,6,13,.462,0,4,.000,2,2,1.000,1,5,6,4,0,2,6,4,14,6.1
49,49,2000-02-15,21-241,DAL,,MIL,L (-13),1,41:00,6,13,.462,0,2,.000,6,7,.857,0,2,2,2,0,0,1,1,18,11.5
50,50,2000-02-17,21-243,DAL,,DET,W (+9),1,40:00,8,16,.500,4,5,.800,2,4,.500,2,10,12,5,1,1,2,4,22,19.2
51,51,2000-02-20,21-246,DAL,@,TOR,W (+4),1,33:00,2,9,.222,0,2,.000,8,8,1.000,1,3,4,2,1,1,1,2,12,9.4
52,52,2000-02-21,21-247,DAL,@,IND,L (-1),1,39:00,8,13,.615,4,6,.667,3,5,.600,0,8,8,5,1,1,3,1,23,20.5
53,53,2000-02-24,21-250,DAL,,UTA,L (-7),1,41:00,4,13,.308,1,5,.200,0,0,,1,8,9,1,2,1,3,2,9,4.2
54,54,2000-02-26,21-252,DAL,,DEN,W (+2),1,39:00,6,15,.400,1,3,.333,0,0,,1,7,8,4,2,0,1,3,13,10.3
55,55,2000-02-28,21-254,DAL,@,BOS,W (+8),1,30:00,10,15,.667,2,5,.400,4,5,.800,1,1,2,3,2,1,1,1,26,23.5
56,56,2000-02-29,21-255,DAL,@,PHI,L (-19),1,26:00,4,14,.286,0,3,.000,2,2,1.000,2,3,5,2,1,0,2,2,10,3.7
57,57,2000-03-02,21-257,DAL,,NJN,L (-1),1,42:00,9,16,.563,3,3,1.000,0,0,,1,4,5,3,0,3,1,3,21,17.3
58,58,2000-03-04,21-259,DAL,@,PHO,L (-14),1,34:00,4,10,.400,1,3,.333,2,2,1.000,1,2,3,2,0,1,1,2,11,7.2
59,59,2000-03-06,21-261,DAL,@,SAC,L (-21),1,34:00,9,19,.474,3,5,.600,4,4,1.000,3,4,7,2,1,0,0,4,25,19.4
60,60,2000-03-07,21-262,DAL,@,SEA,L (-15),1,44:00,8,22,.364,1,6,.167,5,6,.833,2,3,5,5,0,0,1,3,22,13.0
61,61,2000-03-09,21-264,DAL,,MIN,L (-21),1,42:00,6,15,.400,0,3,.000,3,4,.750,3,4,7,1,1,1,2,2,15,9.4
62,62,2000-03-11,21-266,DAL,,PHO,W (+5),1,40:00,5,14,.357,3,7,.429,2,4,.500,1,4,5,0,0,3,0,3,15,9.2
63,63,2000-03-14,21-269,DAL,,IND,W (+21),1,29:00,10,13,.769,4,5,.800,4,4,1.000,1,4,5,2,0,0,0,3,28,25.0
64,64,2000-03-16,21-271,DAL,@,SAS,W (+22),1,29:00,8,13,.615,3,6,.500,0,0,,0,2,2,4,1,1,2,4,19,14.6
